rank,title,author,rating,reviews,price,url,description,publisher,publication_date
1,My Guide Dog is a Wolf Shifter,Roxie Ray,4.5,120.0,,/My-Guide-Dog-Wolf-Shifter-ebook/dp/B0GR98NZ57/ref=zg_bs_g_6190484011_d_sccl_1/132-4763799-3799248?psc=1,"It started as a terrible plan. Then he caught feelings. Jason needs to disappear. So his friends hand him the worst idea ever: become a guide dog. Violet didn’t move to a quiet little town to become “the brave blind girl.” She came for independence. For a fresh start. For the chance to figure out who she is now after spending the last year rebuilding her life after losing her sight. So when an enormous guide dog named Jason shows up for a trial match, Violet says yes… Then Human Jason knocks on her door. He’s supposedly a cooking instructor for visually impaired clients. He’s charming in a way that should be illegal. And the fact that he shares a name with her dog is the kind of cosmic joke that makes Violet want to fight the universe in a parking lot. Between grocery-store commentary, weekly lessons, and one wildly inconvenient flutter in Violet’s stomach, her world starts getting bigger again. Jason thought he was just choosing the safest place to hide. Violet thought she was just choosing her independence back. Neither of them planned on the part where ‘temporary’ gets complicated.",Special Fiction Books Accessibility,"March 5, 2026"
2,Dark Alchemy: House of Cards (The Children Of The Gods Paranormal Romance Book 105),I. T. Lucas,4.9,106.0,,/Dark-Alchemy-Children-Paranormal-Romance-ebook/dp/B0GJ4G9ZG8/ref=zg_bs_g_6190484011_d_sccl_2/132-4763799-3799248?psc=1,"The traps have been sprung, the secret is out, and the house of cards is falling. As the empire crumbles, Mattie and Dimitri fight for survival and a love that transcends transformation. Read more","Evening Star Press, LLC.","March 7, 2026"
3,The Wolf King: A Fantasy Romance,Lauren Palphreyman,4.4,63516.0,,/Wolf-King-Fantasy-Romance-ebook/dp/B0CFQTT2BV/ref=zg_bs_g_6190484011_d_sccl_3/132-4763799-3799248?psc=1,"When a princess is kidnapped by an alpha, war rages between the humans and the wolves. But soon, forbidden attraction starts to grow. . . Princess Aurora longs to escape the castle and the marriage that has been arranged for her. But on the night before her wedding, at a dog fight where captured werewolves are made to fight for sport, she spares the life of a young wolf. It puts her on the radar of the powerful alpha who was going to kill him. And it changes everything. That night, when the alpha escapes, he kidnaps her and takes her to the rugged lands north of the border — where the once warring werewolf clans are beginning to unite. He thinks that she is the key to winning the war against the humans. Only, as they spend time around one another, forbidden attraction starts to grow. And as Aurora learns that not all wolves are bad, the alpha discovers that she is in danger from both his enemies, and those he once considered friends. With monsters on both sides, a bloodthirsty war between humans and wolves raging, and undeniable passion growing between them — will their story end in love? Or tragedy? And will Aurora ever get home? Does she even want to? An adult fantasy romance for fans of romantasy, werewolves, forbidden romance, and enemies to lovers Content Warning: Contains strong language and sexual situations Read less",Lauren Palphreyman,"September 14, 2023"
4,Cursed with Benefits,Roxie Ray,4.5,388.0,,/Cursed-Benefits-Roxie-Ray-ebook/dp/B0GQ3BNQY9/ref=zg_bs_g_6190484011_d_sccl_4/132-4763799-3799248?psc=1,"House-sitting a creepy mansion was supposed to be easy—until Nadia accidentally wakes up a grumpy vampire lord who’s now magically bound to her. Step One: Get him to stop calling people “peasants.” Step Two: Convince him that biting is NOT an acceptable form of communication. Step Three: Absolutely, under no circumstances, fall for him. (Oops.) ✨ Perfect for readers who love: – Grumpy/sunshine chaos – Forced proximity that sizzles – Cozy rom-coms with a bite Read more",Special Fiction Books,"February 25, 2026"
5,Crone of Thorns,Amanda M. Lee,4.7,442.0,,/Crone-Thorns-Amanda-M-Lee-ebook/dp/B0FMPJVJZM/ref=zg_bs_g_6190484011_d_sccl_5/132-4763799-3799248?psc=1,"Scout Randall is ready for the return of one enemy. What she gets is two for the price of one. Bonnie Jenkins returns in the middle of nowhere, in the middle of the night, and in the middle of a very weird pack of dogs. They’re not wolf shifters, but they’re determined to keep Bonnie separate from Scout. Bonnie’s escape weighs heavily on Scout, but the dogs are a problem, especially when the truth about the arrival becomes clear. The kishi don’t belong in Michigan. They’re from another world. Their motivations are hidden. Their allegiances are unknown. Their goal is the only thing that is clear. They want Scout’s magic. They’ll settle for Bonnie’s magic, too. With that will come total domination. Scout has zero intention of letting them win. She’s outnumbered but not outgunned thanks to her merry band of misfits. It’s all hands on deck for another crazy Hawthorne Hollow adventure. What happens when three enemies collide? Who will come out alive? Read less",WincheseterShaw Publications,"March 3, 2026"
6,Zodiac Academy 3: The Reckoning,Caroline Peckham,4.6,104919.0,,/Zodiac-Academy-Reckoning-Romance-Supernatural-ebook/dp/B07XBGJKHQ/ref=zg_bs_g_6190484011_d_sccl_6/132-4763799-3799248?psc=1,"“The answer to your question will be revealed on the Lunar Eclipse. But when discovering the truth, do not let the shadows take you.” Hell Week has begun. Senior students have been tasked with making the freshmen's lives pure torture as we prepare to face The Reckoning - the assessment that will decide whether we stay at Zodiac Academy or lose our places here forever. With the Lunar Eclipse on the horizon, my sister and I have more to worry about than just passing our exams. A dark plot is unfolding and the shadows are drawing closer. It looks like our enemies could be more powerful than we ever realised. Damn, who would have thought being a princess would be this hard? Read less",King's Hollow,"October 4, 2019"
7,Zodiac Academy 2: Ruthless Fae,Caroline Peckham,4.5,112404.0,,/Zodiac-Academy-Ruthless-Romance-Supernatural-ebook/dp/B07VJ383S6/ref=zg_bs_g_6190484011_d_sccl_7/132-4763799-3799248?psc=1,"They tried to break us. They almost did. But we're not going anywhere. The Celestial Heirs think the stars are on their side. But they don't know what's coming. We have to be smart. Fighting them one on one isn't an option so we need to be cunning. Remaining under the radar won't be easy, but if we pull it off, they'll never suspect our involvement when their lives start falling apart. Besides, they've already taken us to the brink of hell, what more can they really do? Read more",King's Hollow,"August 30, 2019"
8,Zodiac Academy 5: Cursed Fates,Caroline Peckham,4.5,80988.0,,/Zodiac-Academy-Cursed-Fates-Romance-ebook/dp/B08914K4F9/ref=zg_bs_g_6190484011_d_sccl_8/132-4763799-3799248?psc=1,"The stars have cursed us all. After the devastating events at Zodiac Academy, we have to deal with this hollow reality we're faced with. Lionel seeks to destroy us, the Nymphs seek to destroy the entire Fae race, and between all of it, we have to try and survive each day and prove our worth in this forsaken place. I'm afraid of everything falling apart, but it looks like it already has. Death lurks around every corner, and it wants to claim me and my sister. But together, we will overcome the darkness that seeks to defeat us. Because we were forged in fire. And these flames will never die. Read more",King's Hollow,"May 20, 2020"
9,How Not to Kill a Hellhound (Hellhounds of Paradise Falls Book 5),Shannon Mae,4.7,913.0,,/Kill-Hellhound-Hellhounds-Paradise-Falls-ebook/dp/B0FTTJQWG6/ref=zg_bs_g_6190484011_d_sccl_9/132-4763799-3799248?psc=1,"Sebbie Life’s pretty good. I love my job, I feed the crows in my yard, and I have some awesome friends. Sure, I was kidnapped by a cult recently, but my friends rescued me, so no harm done. And, okay, people do tend to die around me, but I work in a hospital. That’s normal… right? Death isn’t scary anyway—it’s just another beginning. Unfortunately, most guys I date don’t see it that way. My love life has been pretty empty, but I just met someone new. He’s ridiculously cute and even likes crows. I just hope he’s not scared off when he learns about my job. Corbin I take great satisfaction in removing hellbound souls from the world—especially the ones who prey on the weak. With my pack and my familiar, Crow, at my side, life is steady and peaceful. At least, it was until Sebbie. The cute, bubbly man is far more than he realizes, and he’s about to turn everything upside down. There’s just one little problem: he doesn’t know the supernatural exists… or that he’s a supernatural being. I want to help him harness his powers, but there’s a catch—if I’m not careful, Sebbie might end up killing me in the process. Tags: Crows hold grudges; Death is actually cheerful; Corbin’s as obsessed with shiny things as his birds; The pack shows up to create chaos; Thea is determined to be Sebbie’s new bestie; Jude doesn’t get arrested (or maybe he does?); there’s torture and death (but only of really bad people); hellhounds have tails, and they know how to use them.",,"March 2, 2026"
10,Zodiac Academy 6: Fated Throne,Caroline Peckham,4.5,79249.0,,/Zodiac-Academy-6-Caroline-Peckham-ebook/dp/B088QJ787J/ref=zg_bs_g_6190484011_d_sccl_10/132-4763799-3799248?psc=1,"Fate has torn us apart. Without my sister, the world seems darker than ever before and the shadows loom thicker, rising up to answer the call of the Shadow Princess and changing the face of Solaria for good. Now Lionel Acrux has the strength to make a move for the throne, I’m not sure how much time we have left to stop him. Our only hope is to find the Imperial Star before he does. We made the sacrifice the stars called for and we’re paying the price for that decision so it can’t be for nothing. But with the stars turning against us at every move, and the last light in the world seeming to fade, I’m afraid we’re almost out of time. Hope is a dangerous thing. It’s the key to us fighting on. But it could be what destroys us in the end. One thing is for certain, I won’t stop until I have been reunited with my other half and together we will fight to take our crowns. A war is coming. The throne is calling for a new monarch. And someone must answer its call. Read less",King's Hollow,"December 25, 2020"
11,Zodiac Academy 4: Shadow Princess,Caroline Peckham,4.5,82389.0,,/Zodiac-Academy-Princess-Romance-Supernatural-ebook/dp/B07YLBYWPD/ref=zg_bs_g_6190484011_d_sccl_11/132-4763799-3799248?psc=1,"The shadows are in my blood. I can feel them crawling through me, slithering under my skin and taking me hostage. But the darkness within me isn't nearly as bad as the darkness that lives around me. The four Celestial Heirs will stop at nothing to destroy the lives of me and my sister. But they haven't figured out yet, that we're the strongest creatures they've ever known. And when that secret comes out, we need to be ready to face them as well as any other cruel Fae who rises against us. It’s us or them. And it damn well won’t be us. Read more",King's Hollow,"January 13, 2020"
12,Moon Cursed Complete Series,Alexis Calder,4.3,58.0,,/Moon-Cursed-Complete-Alexis-Calder-ebook/dp/B0CTYTZKNP/ref=zg_bs_g_6190484011_d_sccl_12/132-4763799-3799248?psc=1,"They tried to break me. Now I’m going to break them. Cursed to never shift, the only thing I was looking forward to about the First Moon Ceremony was that the magic sealing me into Wolf Creek would break, and I could finally leave. Instead, the ceremony reveals my true mate: Tyler Grant, future leader of my pack and the man responsible for my most recent concussion and black eye. He’s as brutal as he is handsome and fate is cruel to put us together. There’s a rumor that a mating bond could break my curse and just as I’m getting my hopes up, Tyler destroys them all. Instead of bonding with my mate, I’m beaten and left for dead. A hot-as-sin feral shifter finds me and helps me back on my feet. But his help comes with a cost and I’m not sure I’m willing to pay the price. With my former pack hunting me down, even an enemy might be a better ally than trying to stay alive on my own. This is the complete series and includes all three books: Wolf Marked Wolf Untamed Wolf Chosen Read less",Illaria Publishing,"March 1, 2024"
13,Obsidian (Shadowbound Fae Book 1),K.F. Breene,4.4,11320.0,,/Obsidian-Shadowbound-Fae-Book-1-ebook/dp/B0F3LP475Y/ref=zg_bs_g_6190484011_d_sccl_13/132-4763799-3799248?psc=1,"You are mine now. Mine to play with. Mine to break. He is secrets, danger and passion. He is forbidden sin. And now he holds the key to destroy all I hold dear. The Dark Fae never told me his name. Not when he tried to seduce me, and not before he purposely botched one of my jobs and stole what was mine -- a dangerous relic with unlimited power. It has the ability to break kingdoms… and tear down the wall that separates the human world from the dangerous, wyld magic of the fae. He knows that I will do anything to protect my family. Even follow him beyond the wall, into his lands. Mortals aren't allowed in the Obsidian Kingdom. Those who're caught are killed…or turned into captives. Playthings of the Dark King and his royal family. That's what the Dark Fae wants: to turn me into his toy. To play with. To break. But I'm not the kind of toy he's used to. I will play the games of lust and passion so that I can learn the rules. So that I can break them. And then I will take back what is mine and claim my revenge. Not all mortal women are delicate flowers--some have thorns. ~*~*~*~*~*~*~*~*~*~ Perfect for fans of The Cruel Prince, A Court of Thorns and Roses and The Serpent and the Wings of Night. This dark portal fantasy features an arrogant, sexy and vicious morally-gray Fae. Witty banter meets jaw dropping twists. “Obsidian is a masterclass in character development, action, and everything I love about Portal Fantasy.” -Renee, FatedBookReviews The challenges, magic, and world building are top tier. The banter and laugh out loud moments kept me wanting more and not able to put this book down.” -Tara Sandborg, Tara_Reads_Romantasy “In true K.F. Breene fashion, the tension and chemistry between our MCs is off the charts.” -Ashley, GR Reviewer Read less",,"July 8, 2025"
14,Forged in Blood: A Dark Paranormal/Fantasy romance (Broken Bloodlines Book 1),Sadie Kincaid,4.3,34441.0,,/Forged-Blood-Broken-Bloodlines-Book-ebook/dp/B0CQ8TCHC9/ref=zg_bs_g_6190484011_d_sccl_14/132-4763799-3799248?psc=1,"A dark paranormal/ fantasy romance from bestselling author, Sadie Kincaid. Every few millennia, a child is born. Some say they’re marked with a curse. Others claim they possess the power of the ages. Meet Ophelia Hart. Lover of classic literature and unicorns. An orphan with nobody in her corner—no family, no friends. But it’s her loneliness that fuels her life’s ambition to become a social worker and help the forgotten children just like her. For a foster kid with only slightly above-average grades, it feels like a pipe dream. Except it seems that someone is looking out for Ophelia after all. When an unexpected opportunity to attend Montridge University arises, she thinks her life is finally taking a turn for the better. Too bad she comes to the attention of the three ruthless, arrogant commanders of the Ruby Dragon Society. Three of the most feared and powerful vampires on campus. But Ophelia doesn’t believe in vampires. Or in witches, or magic, or ancient prophecies. Until she has no choice. Little does she know, she’s about to have her whole world turned upside down. Because there is something about Ophelia Hart. Something that captures not only the attention of the Ruby Dragon commanders, but also their powerful, enigmatic sire—Professor Alexandros Drakos. With no idea of the power running through her veins, Ophelia must learn to trust the very men whom all others fear. And she needs to do it fast, for there are darker forces at work than those at Montridge University. Forces that were long ago Forged in Blood. Forged in Blood is book one in a trilogy. Books 1 and 2 end on cliffhangers and book 3 is a HEA.",Red House Press Ltd,"October 22, 2024"
15,The Nanny and Her Alphas: An Omegaverse Reverse Harem Romance (Knotted and Claimed Standalone Series),Layla Sparks,4.1,191.0,,/Nanny-Her-Alphas-Omegaverse-Standalone-ebook/dp/B0FVTSJ2NY/ref=zg_bs_g_6190484011_d_sccl_15/132-4763799-3799248?psc=1,,,
